2023-02-11 16:37:15,283 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-11 16:37:15,283 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-11 16:37:15,283 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 16:37:17,897 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 16:38:46,113 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-11 16:38:46,271 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 16:38:46,275 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-11 16:38:46,276 | MainThread   | [WARNING ] | exit_handler        |: Event loop stopped before Future completed.
2023-02-11 16:38:53,012 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-11 16:38:53,013 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-11 16:38:53,013 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 16:38:55,557 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 16:41:22,539 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-11 16:41:22,700 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 16:41:22,709 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-11 16:41:31,339 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-11 16:41:31,340 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-11 16:41:31,340 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 16:41:33,986 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 16:43:58,373 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 16:44:06,702 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 16:44:09,303 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 16:45:06,283 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-11 16:45:06,317 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 16:45:06,321 | MainThread   | [INFO    ] | exit_handler        |: Gracefully Exiting
2023-02-11 16:45:12,621 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=1, releaselevel='final', serial=0)
2023-02-11 16:45:12,622 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.1-x86_64-i386-64bit
2023-02-11 16:45:12,622 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 16:45:15,225 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 16:58:20,542 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:13:30,482 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:13:33,023 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
2023-02-11 17:14:22,407 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 696B5A40-E16D-9AF3-A22D-7B719373B996
2023-02-11 17:14:37,563 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:83:9:6a:32:3c
2023-02-11 17:14:40,153 | MainThread   | [INFO    ] | _connect            |: Connected to c0:83:9:6a:32:3c
